NO,RPM,X_ACC,Y_ACC,Z_ACC,OUTPUT
1,1000,484,402,332,1
2,1000,443,402,333,1
3,1000,581,401,340,1
4,1000,624,398,328,1
5,1000,651,403,344,1
6,1000,388,400,333,1
7,1000,332,400,334,1
8,1000,521,403,331,1
9,1000,486,401,333,1
10,1000,377,401,333,1
11,1000,532,402,334,1
12,1000,347,400,330,1
13,1000,529,400,327,1
14,1000,521,400,327,1
15,1000,336,399,329,1
16,1000,483,396,332,1
17,1000,488,398,332,1
18,1000,376,401,335,1
19,1000,512,399,336,1
20,1000,483,402,349,1
21,1000,221,403,333,1
22,1000,379,400,336,1
23,1000,565,402,339,1
24,1000,461,402,331,1
25,1000,432,401,333,1
26,1000,402,403,331,1
27,1000,474,403,331,1
28,1000,533,399,330,1
29,1000,479,403,347,1
30,1000,348,401,332,1
31,1000,652,402,334,1
32,1000,599,400,329,1
33,1000,697,401,335,1
34,1000,600,403,347,1
35,1000,525,403,349,1
36,1000,705,402,339,1
37,1000,548,402,339,1
38,1000,446,401,332,1
39,1000,446,401,334,1
40,1000,374,401,330,1
41,1000,500,401,334,1
42,1000,585,399,330,1
43,1000,437,403,330,1
44,1000,321,401,328,1
45,1000,540,400,324,1
46,1000,534,399,328,1
47,1000,472,399,338,1
48,1000,264,401,332,1
49,1000,404,401,348,1
50,1000,351,399,335,1
51,1000,257,402,328,1
52,1000,208,400,332,1
53,1000,270,401,332,1
54,1000,258,401,332,1
55,1000,193,401,333,1
56,1000,240,399,331,1
57,1000,293,400,333,1
58,1000,342,400,334,1
59,1000,451,400,335,1
60,1000,345,400,333,1
61,1000,295,400,332,1
62,1000,497,401,334,1
63,1000,448,400,332,1
64,1000,325,401,330,1
65,1000,440,401,335,1
66,1000,380,403,331,1
67,1000,494,401,334,1
68,1000,627,401,336,1
69,1000,502,402,328,1
70,1000,541,402,335,1
71,1000,418,402,327,1
72,1000,533,402,331,1
73,1000,637,401,334,1
74,1000,487,402,332,1
75,1000,559,401,327,1
76,1000,564,400,324,1
77,1000,479,403,334,1
78,1000,477,403,330,1
79,1000,451,399,326,1
80,1000,501,400,336,1
81,1000,599,402,333,1
82,1000,708,399,329,1
83,1000,577,403,334,1
84,1000,668,403,339,1
85,1000,468,401,332,1
86,1000,477,403,335,1
87,1000,448,400,328,1
88,1000,354,402,350,1
89,1000,473,401,335,1
90,1000,623,400,336,1
91,1000,567,401,336,1
92,1000,458,401,336,1
93,1000,449,401,337,1
94,1000,577,405,336,1
95,1000,432,402,335,1
96,1000,383,401,337,1
97,1000,526,402,339,1
98,1000,341,401,333,1
99,1000,393,401,332,1
100,1000,299,403,332,1
101,1000,545,401,335,1
102,1000,444,401,335,1
103,1000,488,400,334,1
104,1000,366,402,336,1
105,1000,427,401,326,1
106,1000,410,403,336,1
107,1000,495,401,327,1
108,1000,578,402,339,1
109,1000,552,401,336,1
110,1000,517,400,331,1
111,1000,297,400,332,1
112,1000,517,401,332,1
113,1000,270,403,330,1
114,1000,416,401,333,1
115,1000,671,398,333,1
116,1000,271,403,330,1
117,1000,541,402,338,1
118,1000,443,400,327,1
119,1000,426,401,335,1
120,1000,488,402,332,1
121,1000,448,402,333,1
122,1000,430,402,333,1
123,1000,637,398,331,1
124,1000,647,404,336,1
125,1000,580,400,337,1
126,1000,601,400,324,1
127,1000,695,404,338,1
128,1000,564,402,334,1
129,1000,556,400,326,1
130,1000,505,403,334,1
131,1000,461,403,333,1
132,1000,606,400,336,1
133,1000,622,405,335,1
134,1000,528,403,329,1
135,1000,618,401,327,1
136,1000,708,404,333,1
137,1000,512,403,334,1
138,1000,554,397,333,1
139,1000,586,403,340,1
140,1000,544,403,337,1
141,1000,565,402,336,1
142,1000,508,403,334,1
143,1000,486,403,336,1
144,1000,386,398,328,1
145,1000,327,403,329,1
146,1000,444,407,349,1
147,1000,362,402,344,1
148,1000,344,403,331,1
149,1000,370,403,333,1
150,1000,410,402,334,1
151,1000,390,400,330,1
152,1000,496,402,331,1
153,1000,408,405,342,1
154,1000,557,402,331,1
155,1000,522,402,326,1
156,1000,579,400,327,1
157,1000,609,401,340,1
158,1000,704,401,327,1
159,1000,597,403,345,1
160,1000,416,400,333,1
161,1000,349,401,329,1
162,1000,489,398,329,1
163,1000,254,400,331,1
164,1000,259,401,334,1
165,1000,466,398,332,1
166,1000,342,402,332,1
167,1000,518,398,331,1
168,1000,461,401,334,1
169,1000,506,400,329,1
170,1000,492,400,331,1
171,1000,570,402,326,1
172,1000,515,401,330,1
173,1000,684,402,348,1
174,1000,331,400,332,1
175,1000,538,396,333,1
176,1000,440,402,339,1
177,1000,414,396,332,1
178,1000,316,401,337,1
179,1000,476,400,322,1
180,1000,361,403,331,1
181,1000,446,400,325,1
182,1000,505,403,340,1
183,1000,398,400,335,1
184,1000,501,400,331,1
185,1000,689,403,336,1
186,1000,497,404,336,1
187,1000,450,403,330,1
188,1000,695,399,329,1
189,1000,648,399,329,1
190,1000,466,401,334,1
191,1000,395,403,337,1
192,1000,330,399,335,1
193,1000,189,400,331,1
194,1000,389,403,330,1
195,1000,474,400,333,1
196,1000,466,399,326,1
197,1000,376,400,333,1
198,1000,546,401,325,1
199,1000,546,404,330,1
200,1000,627,403,337,1
201,1000,681,401,326,1
202,1000,472,401,337,1
203,1000,601,403,342,1
204,1000,199,400,324,1
205,1000,396,402,331,1
206,1000,340,398,335,1
207,1000,151,399,330,1
208,1000,391,402,343,1
209,1000,458,402,331,1
210,1000,475,401,328,1
211,1000,691,399,329,1
212,1000,474,402,333,1
213,1000,546,400,333,1
214,1000,581,403,336,1
215,1000,492,402,335,1
216,1000,587,403,347,1
217,1000,318,402,336,1
218,1000,350,400,338,1
219,1000,286,402,336,1
220,1000,415,403,334,1
221,1000,547,400,332,1
222,1000,572,400,336,1
223,1000,513,404,330,1
224,1000,712,404,338,1
225,1000,459,402,332,1
226,1000,509,402,332,1
227,1000,304,401,324,1
228,1000,270,398,337,1
229,1000,330,399,332,1
230,1000,401,403,331,1
231,1000,473,398,337,1
232,1000,447,404,334,1
233,1000,562,399,333,1
234,1000,481,400,331,1
235,1000,469,402,335,1
236,1000,448,404,333,1
237,1000,318,405,331,1
238,1000,232,400,336,1
239,1000,398,401,343,1
240,1000,352,402,343,1
241,1000,502,403,334,1
242,1000,618,402,333,1
243,1000,390,402,330,1
244,1000,513,403,333,1
245,1000,490,401,333,1
246,1000,381,400,332,1
247,1000,263,401,328,1
248,1000,283,401,330,1
249,1000,411,401,331,1
250,1000,474,402,336,1
251,1000,471,404,344,1
252,1000,572,402,333,1
253,1000,648,402,335,1
254,1000,485,403,331,1
255,1000,343,399,326,1
256,1000,402,399,335,1
257,1000,372,403,332,1
258,1000,338,398,335,1
259,1000,389,401,326,1
260,1000,532,400,338,1
261,1000,597,401,324,1
262,1000,516,401,330,1
263,1000,289,402,334,1
264,1000,442,401,335,1
265,1000,386,401,332,1
266,1000,247,400,336,1
267,1000,437,401,332,1
268,1000,275,402,341,1
269,1000,518,402,334,1
270,1000,634,400,324,1
271,1000,466,403,334,1
272,1000,593,400,336,1
273,1000,369,401,337,1
274,1000,382,401,338,1
275,1000,396,399,331,1
276,1000,469,397,334,1
277,1000,451,402,349,1
278,1000,538,400,329,1
279,1000,394,400,332,1
280,1000,360,401,325,1
281,1000,568,405,339,1
282,1000,294,401,330,1
283,1000,428,397,334,1
284,1000,425,399,332,1
285,1000,410,400,326,1
286,1000,527,402,334,1
287,1000,476,401,335,1
288,1000,346,403,329,1
289,1000,427,402,330,1
290,1000,298,401,330,1
291,1000,417,399,330,1
292,1000,523,401,323,1
293,1000,678,398,330,1
294,1000,498,400,327,1
295,1000,513,399,337,1
296,1000,460,400,325,1
297,1000,564,402,335,1
298,1000,445,400,339,1
299,1000,562,402,333,1
300,1000,664,400,327,1
301,1000,458,402,335,1
302,1000,306,401,328,1
303,1000,296,401,342,1
304,1000,357,402,337,1
305,1000,611,400,337,1
306,1000,505,405,343,1
307,1000,506,401,332,1
308,1000,543,400,326,1
309,1000,324,400,325,1
310,1000,145,399,331,1
311,1000,456,401,329,1
312,1000,602,399,328,1
313,1000,448,404,330,1
314,1000,588,403,342,1
315,1000,478,400,331,1
316,1000,348,402,337,1
317,1000,544,400,328,1
318,1000,486,401,336,1
319,1000,552,401,324,1
320,1000,532,400,326,1
321,1000,599,400,330,1
322,1000,381,401,336,1
323,1000,400,405,333,1
324,1000,303,403,332,1
325,1000,538,402,336,1
326,1000,503,402,333,1
327,1000,607,401,326,1
328,1000,504,402,328,1
329,1000,345,400,336,1
330,1000,213,402,332,1
331,1000,259,402,334,1
332,1000,591,402,337,1
333,1000,559,404,334,1
334,1000,502,404,340,1
335,1000,435,403,329,1
336,1000,373,401,335,1
337,1000,268,402,336,1
338,1000,448,403,349,1
339,1000,518,404,330,1
340,1000,682,402,351,1
341,1000,473,401,334,1
342,1000,507,405,340,1
343,1000,545,401,337,1
344,1000,423,401,331,1
345,1000,723,403,335,1
346,1000,677,400,329,1
347,1000,377,402,334,1
348,1000,281,400,331,1
349,1000,377,401,332,1
350,1000,507,400,335,1
351,1000,499,402,331,1
352,1000,582,401,336,1
353,1000,450,402,335,1
354,1000,396,402,330,1
355,1000,345,402,349,1
356,1000,488,399,327,1
357,1000,503,403,350,1
358,1000,509,403,336,1
359,1000,483,401,333,1
360,1000,322,403,338,1
361,1000,507,403,341,1
362,1000,378,402,337,1
363,1000,561,404,336,1
364,1000,579,401,331,1
365,1000,558,400,332,1
366,1000,414,402,330,1
367,1000,337,402,331,1
368,1000,529,400,325,1
369,1000,265,401,331,1
370,1000,520,403,331,1
371,1000,548,400,327,1
372,1000,421,403,339,1
373,1000,574,404,339,1
374,1000,197,402,334,1
375,1000,305,400,332,1
376,1000,500,402,333,1
377,1000,604,402,349,1
378,1000,619,405,343,1
379,1000,451,400,334,1
380,1000,367,401,337,1
381,1000,274,400,332,1
382,1000,227,403,332,1
383,1000,539,401,329,1
384,1000,714,400,336,1
385,1000,445,401,337,1
386,1000,473,403,346,1
387,1000,447,399,339,1
388,1000,547,399,330,1
389,1000,409,403,335,1
390,1000,423,402,336,1
391,1000,575,400,333,1
392,1000,412,401,330,1
393,1000,282,399,326,1
394,1000,388,399,338,1
395,1000,375,400,330,1
396,1000,533,402,329,1
397,1000,534,403,333,1
398,1000,697,403,349,1
399,1000,347,404,336,1
400,1000,180,401,333,1
401,1000,447,401,331,1
402,1000,354,400,328,1
403,1000,472,403,334,1
404,1000,432,403,335,1
405,1000,579,403,341,1
406,1000,413,401,333,1
407,1000,361,399,334,1
408,1000,179,402,336,1
409,1000,430,404,342,1
410,1000,626,402,336,1
411,1000,496,400,332,1
412,1000,472,404,338,1
413,1000,393,401,330,1
414,1000,456,403,330,1
415,1000,270,399,330,1
416,1000,373,400,332,1
417,1000,452,404,345,1
418,1000,365,401,332,1
419,1000,688,401,330,1
420,1000,564,400,326,1
421,1000,233,400,331,1
422,1000,233,400,332,1
423,1000,307,398,336,1
424,1000,457,402,334,1
425,1000,483,403,341,1
426,1000,578,401,330,1
427,1000,426,401,331,1
