NO,RPM,X_ACC,Y_ACC,Z_ACC,OUTPUT
1,1000,351,403,341,1
2,1000,335,403,336,1
3,1000,338,406,334,1
4,1000,350,403,349,1
5,1000,349,402,339,1
6,1000,333,402,331,1
7,1000,346,399,350,1
8,1000,347,400,334,1
9,1000,330,403,338,1
10,1000,330,406,332,1
11,1000,345,403,346,1
12,1000,329,402,340,1
13,1000,332,406,355,1
14,1000,337,399,329,1
15,1000,337,406,337,1
16,1000,348,402,346,1
17,1000,332,400,356,1
18,1000,331,402,338,1
19,1000,331,401,340,1
20,1000,337,403,339,1
21,1000,346,401,326,1
22,1000,333,402,343,1
23,1000,349,402,337,1
24,1000,331,410,351,1
25,1000,338,402,328,1
26,1000,342,404,337,1
27,1000,336,402,327,1
28,1000,341,402,327,1
29,1000,344,401,324,1
30,1000,346,403,329,1
31,1000,333,403,335,1
32,1000,349,401,332,1
33,1000,349,402,343,1
34,1000,327,399,334,1
35,1000,336,401,329,1
36,1000,342,405,328,1
37,1000,343,401,330,1
38,1000,341,400,321,1
39,1000,342,402,328,1
40,1000,347,401,345,1
41,1000,332,404,337,1
42,1000,348,405,351,1
43,1000,346,401,348,1
44,1000,334,403,340,1
45,1000,331,402,335,1
46,1000,338,405,333,1
47,1000,335,402,339,1
48,1000,341,399,333,1
49,1000,339,399,330,1
50,1000,328,400,334,1
51,1000,333,408,356,1
52,1000,330,402,344,1
53,1000,325,399,358,1
54,1000,340,401,333,1
55,1000,344,402,327,1
56,1000,335,403,334,1
57,1000,334,403,340,1
58,1000,345,404,336,1
59,1000,341,402,343,1
60,1000,332,401,337,1
61,1000,346,402,326,1
62,1000,328,402,342,1
63,1000,337,398,330,1
64,1000,335,407,357,1
65,1000,332,403,340,1
66,1000,333,400,330,1
67,1000,325,402,338,1
68,1000,323,409,355,1
69,1000,342,400,341,1
70,1000,336,401,333,1
71,1000,348,401,342,1
72,1000,321,405,357,1
73,1000,343,401,324,1
74,1000,330,403,340,1
75,1000,335,400,330,1
76,1000,332,405,357,1
77,1000,342,402,327,1
78,1000,339,400,345,1
79,1000,327,410,359,1
80,1000,341,398,321,1
81,1000,329,403,357,1
82,1000,348,399,334,1
83,1000,323,402,343,1
84,1000,330,402,331,1
85,1000,336,404,335,1
86,1000,349,402,343,1
87,1000,328,409,356,1
88,1000,343,401,325,1
89,1000,330,407,355,1
90,1000,337,401,324,1
91,1000,344,399,345,1
92,1000,330,403,333,1
93,1000,343,403,328,1
94,1000,336,398,328,1
95,1000,339,401,334,1
96,1000,327,400,333,1
97,1000,339,401,335,1
98,1000,349,400,334,1
99,1000,327,403,337,1
100,1000,340,401,328,1
101,1000,323,400,327,1
102,1000,340,403,328,1
103,1000,333,407,348,1
104,1000,336,397,322,1
105,1000,334,401,330,1
106,1000,341,399,343,1
107,1000,338,397,319,1
108,1000,333,401,333,1
109,1000,344,403,339,1
110,1000,321,403,342,1
111,1000,331,401,338,1
112,1000,344,401,329,1
113,1000,335,407,334,1
114,1000,347,399,326,1
115,1000,339,403,332,1
116,1000,346,403,349,1
117,1000,339,403,331,1
118,1000,327,399,333,1
119,1000,332,404,335,1
120,1000,339,402,326,1
121,1000,329,402,336,1
122,1000,336,397,320,1
123,1000,325,408,353,1
124,1000,343,400,320,1
125,1000,346,402,350,1
126,1000,323,402,337,1
127,1000,343,400,350,1
128,1000,334,403,334,1
129,1000,341,402,325,1
130,1000,330,411,352,1
131,1000,347,403,347,1
132,1000,340,400,314,1
133,1000,333,396,326,1
134,1000,340,398,319,1
135,1000,332,402,334,1
136,1000,342,401,327,1
137,1000,337,396,332,1
138,1000,343,402,324,1
139,1000,334,412,340,1
140,1000,327,402,338,1
141,1000,340,399,341,1
142,1000,340,400,316,1
143,1000,333,403,335,1
144,1000,341,400,346,1
145,1000,343,402,332,1
146,1000,343,404,350,1
147,1000,317,408,351,1
148,1000,329,405,346,1
149,1000,331,407,353,1
150,1000,349,401,343,1
151,1000,322,406,341,1
152,1000,337,401,332,1
153,1000,338,400,340,1
154,1000,336,404,341,1
155,1000,349,402,340,1
156,1000,336,399,335,1
157,1000,344,399,341,1
158,1000,348,402,340,1
159,1000,341,404,321,1
160,1000,328,402,339,1
161,1000,342,402,321,1
162,1000,325,402,336,1
163,1000,331,401,333,1
164,1000,335,404,340,1
165,1000,346,401,332,1
166,1000,344,400,322,1
167,1000,318,408,343,1
168,1000,333,406,356,1
169,1000,339,401,330,1
170,1000,333,402,338,1
171,1000,330,401,338,1
172,1000,341,402,330,1
173,1000,331,403,343,1
174,1000,339,403,336,1
175,1000,341,404,338,1
176,1000,345,402,341,1
177,1000,340,402,326,1
178,1000,348,401,345,1
179,1000,335,402,331,1
180,1000,319,405,355,1
181,1000,328,407,344,1
182,1000,330,401,336,1
183,1000,338,401,323,1
184,1000,332,404,348,1
185,1000,321,402,356,1
186,1000,344,400,333,1
187,1000,341,400,333,1
188,1000,335,401,331,1
189,1000,344,401,344,1
190,1000,346,400,334,1
191,1000,323,399,353,1
192,1000,334,399,335,1
193,1000,327,402,335,1
194,1000,339,399,330,1
195,1000,344,400,344,1
196,1000,340,401,328,1
197,1000,342,401,325,1
